Path,Type,Size
D:\GB\immPython\HomeWork\results.csv,File,0
D:\GB\immPython\HomeWork\results.json,File,2
D:\GB\immPython\HomeWork\Task_1.py,File,472
D:\GB\immPython\HomeWork\Task_10.py,File,257
D:\GB\immPython\HomeWork\Task_11.py,File,2435
D:\GB\immPython\HomeWork\Task_12.py,File,350
D:\GB\immPython\HomeWork\Task_13.py,File,211
D:\GB\immPython\HomeWork\Task_14.py,File,156
D:\GB\immPython\HomeWork\Task_15.py,File,686
D:\GB\immPython\HomeWork\Task_16.py,File,673
D:\GB\immPython\HomeWork\Task_17.py,File,700
D:\GB\immPython\HomeWork\Task_18.py,File,1408
D:\GB\immPython\HomeWork\Task_19.py,File,925
D:\GB\immPython\HomeWork\Task_2.py,File,342
D:\GB\immPython\HomeWork\Task_20.py,File,1630
D:\GB\immPython\HomeWork\Task_3.py,File,243
D:\GB\immPython\HomeWork\Task_4.py,File,349
D:\GB\immPython\HomeWork\Task_5.py,File,895
D:\GB\immPython\HomeWork\Task_6.py,File,355
D:\GB\immPython\HomeWork\Task_7.py,File,1265
D:\GB\immPython\HomeWork\Task_8.py,File,170
D:\GB\immPython\HomeWork\Task_9.py,File,248
D:\GB\immPython\HomeWork\__init__.py,File,861
D:\GB\immPython\HomeWork\Task_20,Directory,0
